,planno,parcelno,coords,lat,lon,area,id
639,1324,353/2,"{'type': 'Polygon', 'coordinates': [[[24.752052926110427, 46.679637757013616], [24.752000451493398, 46.679513469899405], [24.751992874328657, 46.67949552241171], [24.75222232428944, 46.67937934796775], [24.752229901466496, 46.67939729548313], [24.752282377071662, 46.6795215828013], [24.752052926110427, 46.679637757013616]]]}",24.75211911155293,46.6795118189415,336.7804439816027,640
640,1324,607,"{'type': 'Polygon', 'coordinates': [[[24.74421238039698, 46.67106107233491], [24.74411898602278, 46.67083738214385], [24.74423541800663, 46.670779822038455], [24.744350218485188, 46.67072306852958], [24.744444434568035, 46.670946279672776], [24.74421238039698, 46.67106107233491]]]}",24.74426230297944,46.67090144950907,531.5094197217296,641
641,1324,1066/1/1,"{'type': 'Polygon', 'coordinates': [[[24.77321404295466, 46.68661651057326], [24.773402507045684, 46.686521037747994], [24.773440406647904, 46.68661078522562], [24.77325194160345, 46.68670625792479], [24.77321404295466, 46.68661651057326]]]}",24.773304588241267,46.68661422040898,174.54278102876347,642
642,1324,1077,"{'type': 'Polygon', 'coordinates': [[[24.772688185989047, 46.68719545926008], [24.772615682400815, 46.6870188942957], [24.772793263316974, 46.68693160089692], [24.772864789037328, 46.687105934764304], [24.772688185989047, 46.68719545926008]]]}",24.77273002134665,46.68708946969541,318.24495166222107,643
643,1324,582/2,"{'type': 'Polygon', 'coordinates': [[[24.763669058692937, 46.68997476578497], [24.763755687577692, 46.69018597587222], [24.76364488072403, 46.69024203717066], [24.763559284967045, 46.690031213020916], [24.763669058692937, 46.68997476578497]]]}",24.76365959413093,46.69008175152675,239.00394550884582,644
644,1324,940,"{'type': 'Polygon', 'coordinates': [[[24.74314606147108, 46.67327082688534], [24.743057571359497, 46.67306322113994], [24.743344065352623, 46.672924924785164], [24.743429780366498, 46.67313372466971], [24.74314606147108, 46.67327082688534]]]}",24.74322470800416,46.67313270487311,606.7163221039564,645
645,1324,3/6/2,"{'type': 'Polygon', 'coordinates': [[[24.741700528152844, 46.67842892922345], [24.741584056967977, 46.67813961566352], [24.74170906364832, 46.67808083111897], [24.74182488401283, 46.678366995240864], [24.741700528152844, 46.67842892922345]]]}",24.741703812186962,46.67828906009405,364.62219327606545,646
646,1324,3/6/4,"{'type': 'Polygon', 'coordinates': [[[24.74145176092465, 46.678552668557174], [24.741334043561825, 46.678257183430595], [24.741369363640878, 46.67824057383534], [24.741459050268766, 46.678198400096896], [24.74157614410341, 46.678490798448465], [24.741485188875263, 46.67853603263481], [24.74145176092465, 46.678552668557174]]]}",24.741446758899922,46.678404046508646,371.84089015294734,647
647,1324,3/6/5,"{'type': 'Polygon', 'coordinates': [[[24.741364970088288, 46.67859586166271], [24.74124680941854, 46.67829820562051], [24.741334043561825, 46.678257183430595], [24.74145176092465, 46.678552668557174], [24.741364970088288, 46.67859586166271]]]}",24.74135251081632,46.67845995618674,261.6214593887204,648
648,1324,3/6/6,"{'type': 'Polygon', 'coordinates': [[[24.741278178350008, 46.678639053710654], [24.74123073682898, 46.678519123457164], [24.74119685022583, 46.67843345890535], [24.74115957436335, 46.67833922774414], [24.741159975549554, 46.6783390393564], [24.74124680941854, 46.67829820562051], [24.741364970088288, 46.67859586166271], [24.741278178350008, 46.678639053710654]]]}",24.74123940914681,46.67847537802093,263.38714751885897,649
